country,year,emigration,immigration
SE,2008,45294,101171
SE,2009,39240,102280
SE,2010,48853,98801
SE,2011,51179,96467
SE,2012,51747,103059
SE,2013,50715,115845
SE,2014,51237,126966
SE,2015,55830,134240
SE,2016,45878,163005
SE,2017,45620,144489
SE,2018,46981,132602
SE,2019,47718,115805
SE,2020,48937,82518
SE,2021,48284,90631
SI,1990,4908,7075
SI,1991,9060,5989
SI,1992,3848,3461
SI,1993,1390,2745
SI,1994,983,1919
SI,1995,3372,5879
SI,1996,2985,9495
SI,1997,5447,7889
SI,1998,6708,4603
SI,1999,2606,4941
SI,2000,3570,6185
SI,2001,4811,7803
SI,2002,7269,9134
SI,2003,5867,9279
SI,2004,8269,10171
SI,2005,8605,15041
SI,2006,13749,20016
SI,2007,14943,29193
SI,2008,12109,30693
SI,2009,18788,30296
SI,2010,15937,15416
SI,2011,12024,14083
SI,2012,14378,15022
SI,2013,13384,13871
SI,2014,14336,13846
SI,2015,14913,15420
SI,2016,15572,16623
SI,2017,17555,18808
SI,2018,13527,28455
SI,2019,15106,31319
SI,2020,17745,36110
SI,2021,21144,23624
SK,1990,867,944
SK,1991,527,1752
SK,1992,128,2106
SK,1993,7355,9106
SK,1994,154,4922
SK,1995,213,3055
SK,1996,222,2477
SK,1997,572,2303
SK,1998,746,2052
SK,1999,618,2072
SK,2000,811,2274
SK,2001,1011,2023
SK,2002,1411,2312
SK,2003,1194,2603
SK,2004,1586,4460
SK,2005,1873,5276
SK,2006,1735,5589
SK,2007,1831,8624
SK,2008,1705,8765
SK,2009,1979,6346
SK,2010,1889,5272
SK,2011,1863,4829
SK,2012,2003,5419
SK,2013,2770,5149
SK,2014,3644,5357
SK,2015,3870,6997
SK,2016,3801,7686
SK,2017,3466,7188
SK,2018,3298,7253
SK,2019,3384,7016
SK,2020,2428,6775
SK,2021,3395,5733
UK,1998,198934,332390
UK,1999,245340,354077
UK,2000,277563,364367
UK,2001,251369,372206
UK,2002,305931,385901
UK,2003,313960,431487
UK,2004,310389,518097
UK,2006,369470,529008
UK,2007,317587,526714
UK,2008,427207,590242
UK,2009,368177,566514
UK,2010,339306,590950
UK,2011,350703,566044
UK,2012,321217,498040
UK,2013,316934,526046
UK,2014,319086,631991
UK,2015,299183,631452
UK,2016,340440,588993
UK,2017,359665,644209
UK,2018,344347,603953
UK,2019,368385,680906
