DATAFLOW,LAST UPDATE,freq,agedef,age,unit,sex,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:MIGR_IMM8(1.0),26/09/23 23:00:00,A,COMPLET,TOTAL,NR,T,DK,2013,60312,
ESTAT:MIGR_IMM8(1.0),26/09/23 23:00:00,A,COMPLET,TOTAL,NR,T,DK,2014,68388,
ESTAT:MIGR_IMM8(1.0),26/09/23 23:00:00,A,COMPLET,TOTAL,NR,T,DK,2015,78492,
ESTAT:MIGR_IMM8(1.0),26/09/23 23:00:00,A,COMPLET,TOTAL,NR,T,DK,2016,74383,
ESTAT:MIGR_IMM8(1.0),26/09/23 23:00:00,A,COMPLET,TOTAL,NR,T,DK,2017,68579,
ESTAT:MIGR_IMM8(1.0),26/09/23 23:00:00,A,COMPLET,TOTAL,NR,T,DK,2018,64669,
ESTAT:MIGR_IMM8(1.0),26/09/23 23:00:00,A,COMPLET,TOTAL,NR,T,DK,2019,61384,
ESTAT:MIGR_IMM8(1.0),26/09/23 23:00:00,A,COMPLET,TOTAL,NR,T,DK,2020,57230,
ESTAT:MIGR_IMM8(1.0),26/09/23 23:00:00,A,COMPLET,TOTAL,NR,T,DK,2021,63489,
ESTAT:MIGR_IMM8(1.0),26/09/23 23:00:00,A,COMPLET,TOTAL,NR,T,EE,2000,35,
ESTAT:MIGR_IMM8(1.0),26/09/23 23:00:00,A,COMPLET,TOTAL,NR,T,EE,2001,241,
ESTAT:MIGR_IMM8(1.0),26/09/23 23:00:00,A,COMPLET,TOTAL,NR,T,EE,2002,575,
ESTAT:MIGR_IMM8(1.0),26/09/23 23:00:00,A,COMPLET,TOTAL,NR,T,EE,2003,967,
ESTAT:MIGR_IMM8(1.0),26/09/23 23:00:00,A,COMPLET,TOTAL,NR,T,EE,2004,1097,
ESTAT:MIGR_IMM8(1.0),26/09/23 23:00:00,A,COMPLET,TOTAL,NR,T,EE,2005,1436,
ESTAT:MIGR_IMM8(1.0),26/09/23 23:00:00,A,COMPLET,TOTAL,NR,T,EE,2006,2234,
ESTAT:MIGR_IMM8(1.0),26/09/23 23:00:00,A,COMPLET,TOTAL,NR,T,EE,2007,3741,
