DATAFLOW,LAST UPDATE,freq,sex,age,unit,isced11,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:SDG_04_20(1.0),03/01/24 23:00:00,A,T,Y25-34,PC,ED5-8,EE,2000,28.4,b
ESTAT:SDG_04_20(1.0),03/01/24 23:00:00,A,T,Y25-34,PC,ED5-8,EE,2001,27.0,
ESTAT:SDG_04_20(1.0),03/01/24 23:00:00,A,T,Y25-34,PC,ED5-8,EE,2002,26.3,
ESTAT:SDG_04_20(1.0),03/01/24 23:00:00,A,T,Y25-34,PC,ED5-8,EE,2003,27.4,
ESTAT:SDG_04_20(1.0),03/01/24 23:00:00,A,T,Y25-34,PC,ED5-8,EE,2004,27.7,
ESTAT:SDG_04_20(1.0),03/01/24 23:00:00,A,T,Y25-34,PC,ED5-8,EE,2005,33.1,
ESTAT:SDG_04_20(1.0),03/01/24 23:00:00,A,T,Y25-34,PC,ED5-8,EE,2006,34.5,
ESTAT:SDG_04_20(1.0),03/01/24 23:00:00,A,T,Y25-34,PC,ED5-8,EE,2007,34.4,
ESTAT:SDG_04_20(1.0),03/01/24 23:00:00,A,T,Y25-34,PC,ED5-8,EE,2008,35.8,
ESTAT:SDG_04_20(1.0),03/01/24 23:00:00,A,T,Y25-34,PC,ED5-8,EE,2009,36.8,
ESTAT:SDG_04_20(1.0),03/01/24 23:00:00,A,T,Y25-34,PC,ED5-8,EE,2010,38.2,
ESTAT:SDG_04_20(1.0),03/01/24 23:00:00,A,T,Y25-34,PC,ED5-8,EE,2011,39.0,
ESTAT:SDG_04_20(1.0),03/01/24 23:00:00,A,T,Y25-34,PC,ED5-8,EE,2012,40.1,
ESTAT:SDG_04_20(1.0),03/01/24 23:00:00,A,T,Y25-34,PC,ED5-8,EE,2013,40.6,
ESTAT:SDG_04_20(1.0),03/01/24 23:00:00,A,T,Y25-34,PC,ED5-8,EE,2014,40.6,b
ESTAT:SDG_04_20(1.0),03/01/24 23:00:00,A,T,Y25-34,PC,ED5-8,EE,2015,38.5,
ESTAT:SDG_04_20(1.0),03/01/24 23:00:00,A,T,Y25-34,PC,ED5-8,EE,2016,39.1,
ESTAT:SDG_04_20(1.0),03/01/24 23:00:00,A,T,Y25-34,PC,ED5-8,EE,2017,40.9,
ESTAT:SDG_04_20(1.0),03/01/24 23:00:00,A,T,Y25-34,PC,ED5-8,EE,2018,41.1,
ESTAT:SDG_04_20(1.0),03/01/24 23:00:00,A,T,Y25-34,PC,ED5-8,EE,2019,40.6,
ESTAT:SDG_04_20(1.0),03/01/24 23:00:00,A,T,Y25-34,PC,ED5-8,EE,2020,40.1,
