DATAFLOW,LAST UPDATE,freq,unit,wstatus,age,sex,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:SDG_04_10(1.0),03/01/24 23:00:00,A,PC,POP,Y18-24,T,DK,2021,9.8,b
ESTAT:SDG_04_10(1.0),03/01/24 23:00:00,A,PC,POP,Y18-24,T,DK,2022,10.0,
ESTAT:SDG_04_10(1.0),03/01/24 23:00:00,A,PC,POP,Y18-24,T,EE,2000,15.1,b
ESTAT:SDG_04_10(1.0),03/01/24 23:00:00,A,PC,POP,Y18-24,T,EE,2001,14.7,
ESTAT:SDG_04_10(1.0),03/01/24 23:00:00,A,PC,POP,Y18-24,T,EE,2002,13.6,
ESTAT:SDG_04_10(1.0),03/01/24 23:00:00,A,PC,POP,Y18-24,T,EE,2003,13.7,b
ESTAT:SDG_04_10(1.0),03/01/24 23:00:00,A,PC,POP,Y18-24,T,EE,2004,13.9,
ESTAT:SDG_04_10(1.0),03/01/24 23:00:00,A,PC,POP,Y18-24,T,EE,2005,14.0,
ESTAT:SDG_04_10(1.0),03/01/24 23:00:00,A,PC,POP,Y18-24,T,EE,2006,13.4,
ESTAT:SDG_04_10(1.0),03/01/24 23:00:00,A,PC,POP,Y18-24,T,EE,2007,14.4,
ESTAT:SDG_04_10(1.0),03/01/24 23:00:00,A,PC,POP,Y18-24,T,EE,2008,14.0,
ESTAT:SDG_04_10(1.0),03/01/24 23:00:00,A,PC,POP,Y18-24,T,EE,2009,13.5,b
ESTAT:SDG_04_10(1.0),03/01/24 23:00:00,A,PC,POP,Y18-24,T,EE,2010,11.0,
ESTAT:SDG_04_10(1.0),03/01/24 23:00:00,A,PC,POP,Y18-24,T,EE,2011,10.6,
ESTAT:SDG_04_10(1.0),03/01/24 23:00:00,A,PC,POP,Y18-24,T,EE,2012,10.3,
ESTAT:SDG_04_10(1.0),03/01/24 23:00:00,A,PC,POP,Y18-24,T,EE,2013,9.7,
ESTAT:SDG_04_10(1.0),03/01/24 23:00:00,A,PC,POP,Y18-24,T,EE,2014,12.0,b
ESTAT:SDG_04_10(1.0),03/01/24 23:00:00,A,PC,POP,Y18-24,T,EE,2015,13.7,
ESTAT:SDG_04_10(1.0),03/01/24 23:00:00,A,PC,POP,Y18-24,T,EE,2016,11.4,
ESTAT:SDG_04_10(1.0),03/01/24 23:00:00,A,PC,POP,Y18-24,T,EE,2017,11.8,
ESTAT:SDG_04_10(1.0),03/01/24 23:00:00,A,PC,POP,Y18-24,T,EE,2018,12.0,
ESTAT:SDG_04_10(1.0),03/01/24 23:00:00,A,PC,POP,Y18-24,T,EE,2019,11.2,
ESTAT:SDG_04_10(1.0),03/01/24 23:00:00,A,PC,POP,Y18-24,T,EE,2020,8.5,
ESTAT:SDG_04_10(1.0),03/01/24 23:00:00,A,PC,POP,Y18-24,T,EE,2021,9.8,b
ESTAT:SDG_04_10(1.0),03/01/24 23:00:00,A,PC,POP,Y18-24,T,EE,2022,10.8,
ESTAT:SDG_04_10(1.0),03/01/24 23:00:00,A,PC,POP,Y18-24,T,EL,2000,18.2,
ESTAT:SDG_04_10(1.0),03/01/24 23:00:00,A,PC,POP,Y18-24,T,EL,2001,16.9,b
ESTAT:SDG_04_10(1.0),03/01/24 23:00:00,A,PC,POP,Y18-24,T,EL,2002,16.2,
ESTAT:SDG_04_10(1.0),03/01/24 23:00:00,A,PC,POP,Y18-24,T,EL,2003,15.6,b
ESTAT:SDG_04_10(1.0),03/01/24 23:00:00,A,PC,POP,Y18-24,T,EL,2004,14.5,b
ESTAT:SDG_04_10(1.0),03/01/24 23:00:00,A,PC,POP,Y18-24,T,EL,2005,13.3,
ESTAT:SDG_04_10(1.0),03/01/24 23:00:00,A,PC,POP,Y18-24,T,EL,2006,15.1,b
ESTAT:SDG_04_10(1.0),03/01/24 23:00:00,A,PC,POP,Y18-24,T,EL,2007,14.3,
ESTAT:SDG_04_10(1.0),03/01/24 23:00:00,A,PC,POP,Y18-24,T,EL,2008,14.4,b
ESTAT:SDG_04_10(1.0),03/01/24 23:00:00,A,PC,POP,Y18-24,T,EL,2009,14.2,b
ESTAT:SDG_04_10(1.0),03/01/24 23:00:00,A,PC,POP,Y18-24,T,EL,2010,13.5,
ESTAT:SDG_04_10(1.0),03/01/24 23:00:00,A,PC,POP,Y18-24,T,EL,2011,12.9,
ESTAT:SDG_04_10(1.0),03/01/24 23:00:00,A,PC,POP,Y18-24,T,EL,2012,11.3,
ESTAT:SDG_04_10(1.0),03/01/24 23:00:00,A,PC,POP,Y18-24,T,EL,2013,10.1,
ESTAT:SDG_04_10(1.0),03/01/24 23:00:00,A,PC,POP,Y18-24,T,EL,2014,9.0,b
ESTAT:SDG_04_10(1.0),03/01/24 23:00:00,A,PC,POP,Y18-24,T,EL,2015,7.9,
ESTAT:SDG_04_10(1.0),03/01/24 23:00:00,A,PC,POP,Y18-24,T,EL,2016,6.2,
ESTAT:SDG_04_10(1.0),03/01/24 23:00:00,A,PC,POP,Y18-24,T,EL,2017,6.0,
ESTAT:SDG_04_10(1.0),03/01/24 23:00:00,A,PC,POP,Y18-24,T,EL,2018,4.7,
ESTAT:SDG_04_10(1.0),03/01/24 23:00:00,A,PC,POP,Y18-24,T,EL,2019,4.1,
ESTAT:SDG_04_10(1.0),03/01/24 23:00:00,A,PC,POP,Y18-24,T,EL,2020,3.8,
ESTAT:SDG_04_10(1.0),03/01/24 23:00:00,A,PC,POP,Y18-24,T,EL,2021,3.2,b
ESTAT:SDG_04_10(1.0),03/01/24 23:00:00,A,PC,POP,Y18-24,T,EL,2022,4.1,
ESTAT:SDG_04_10(1.0),03/01/24 23:00:00,A,PC,POP,Y18-24,T,ES,2000,29.1,
ESTAT:SDG_04_10(1.0),03/01/24 23:00:00,A,PC,POP,Y18-24,T,ES,2001,29.7,
ESTAT:SDG_04_10(1.0),03/01/24 23:00:00,A,PC,POP,Y18-24,T,ES,2002,30.9,
ESTAT:SDG_04_10(1.0),03/01/24 23:00:00,A,PC,POP,Y18-24,T,ES,2003,31.7,b
ESTAT:SDG_04_10(1.0),03/01/24 23:00:00,A,PC,POP,Y18-24,T,ES,2004,32.2,
ESTAT:SDG_04_10(1.0),03/01/24 23:00:00,A,PC,POP,Y18-24,T,ES,2005,31.0,b
ESTAT:SDG_04_10(1.0),03/01/24 23:00:00,A,PC,POP,Y18-24,T,ES,2006,30.3,b
ESTAT:SDG_04_10(1.0),03/01/24 23:00:00,A,PC,POP,Y18-24,T,ES,2007,30.8,
ESTAT:SDG_04_10(1.0),03/01/24 23:00:00,A,PC,POP,Y18-24,T,ES,2008,31.7,
ESTAT:SDG_04_10(1.0),03/01/24 23:00:00,A,PC,POP,Y18-24,T,ES,2009,30.9,
